Filename,Pre,Phone,Post,Begtime,Endtime,Duration,F1_ch1,F2_ch1,F3_ch1,F4_ch1,F1_ch2,F2_ch2,F3_ch2,F4_ch2,F1_ch3,F2_ch3,F3_ch3,F4_ch3,
ADG0_SA1,Start,h#,sh,0,0.1325,0.1325,912.6755464706681,2101.220453231374,3108.446385743119,0,820.4218540163065,2112.9633151148505,3051.7086666488144,0,934.771140262818,2060.3628634780894,3231.075079073493,0,
ADG0_SA1,h#,sh,iy,0.1325,0.250625,0.11812499999999998,888.8606248909998,2396.2360242858545,3177.005101026963,0,1127.7783980115028,2731.3500756225617,3235.8584146764115,0,1081.8180637298926,2410.162413330437,3131.5139055899526,0,
ADG0_SA1,sh,iy,hv,0.250625,0.3025,0.051875000000000004,395.57506165647163,2486.3254973080793,3130.778959503424,4103.445199131413,453.83900637216794,2602.9474297514857,3165.5237053306355,4202.405340367358,388.87203546302874,2704.8617799373883,3582.493332166682,4463.564469168998,
ADG0_SA1,iy,hv,ae,0.3025,0.3785625,0.07606250000000003,578.4238537812491,2695.559593580177,3143.710902607659,4021.289983736441,768.12921964059,2586.175816066247,3099.0222321600845,4395.612585547002,706.514451548138,2448.7266540274313,2906.9782563713593,4304.02938029295,
ADG0_SA1,hv,ae,dcl,0.3785625,0.5075,0.12893749999999993,766.0372513421518,2232.4740069920454,2978.9918399261774,4549.955487067734,771.1485052925717,2079.2003004655676,2948.418982045391,4519.156176704683,617.1972265813728,2246.7638000204092,3093.523494889086,4600.1654812057905,
ADG0_SA1,ae,dcl,d,0.5075,0.5275,0.020000000000000018,425.5477036233441,2300.273441787594,3152.795582473288,0,264.6451628627118,2243.2356460511032,3160.9974762309175,0,1079.684288239079,2852.709510460495,3507.7725441316907,0,
ADG0_SA1,dcl,d,y,0.5275,0.547,0.019500000000000073,1195.4158535717334,2612.4262590696953,3545.4087485997693,0,843.2525052521879,1698.534588053654,3312.393527874219,0,821.0386623551681,2053.424358651244,3171.4660028231665,0,
ADG0_SA1,d,y,axr,0.547,0.5823125,0.03531249999999997,1448.2495483518146,2716.2739862259305,3347.9173668733683,4336.917280471347,492.0965695635159,2422.2604251836283,2820.8957321086427,3872.393470241829,461.87409459398793,2170.9428052592316,2446.604485411182,3914.2262976628117,
ADG0_SA1,y,axr,dcl,0.5823125,0.66575,0.08343749999999994,475.85254588372715,1907.4658896348308,2149.330589526755,0,447.3806134611572,1704.5292870791807,1939.7359368105806,0,439.9154110087197,1718.7262457896238,1982.636867894478,0,
ADG0_SA1,axr,dcl,d,0.66575,0.7025,0.03675000000000006,387.41277113321684,1901.3946202669542,2099.1999924492793,3602.609392915803,191.38246246345122,1917.2373526038702,3204.185232166231,4575.73361244089,686.433701828902,2225.4916811347316,3148.323873940018,4287.702024250278,
ADG0_SA1,dcl,d,aa,0.7025,0.7325,0.030000000000000027,1248.804368259969,2606.8395291597785,2992.393135216586,4032.4811477743838,1122.6679720806292,2603.775195530443,3054.5291932800465,4098.962704893347,733.3425110222455,2128.1671436164797,2896.5658200484736,3929.315799992468,
ADG0_SA1,d,aa,r,0.7325,0.839125,0.10662499999999997,622.9342526508069,1551.8686140694567,2209.2075810104106,0,734.8760702158181,1306.04638383868,2105.2557638690355,0,739.3288490175825,1239.6304689617557,1904.9737381169268,0,
ADG0_SA1,aa,r,kcl,0.839125,0.8925,0.05337499999999995,698.4322620601739,1246.3274062608764,1727.3489906659809,0,665.7378778880418,1283.6702403653974,1558.1050858039914,0,576.6604194948073,1331.1587526996861,1569.7424708108138,0,
ADG0_SA1,r,kcl,k,0.8925,0.9525,0.06000000000000005,646.2093764281724,1478.2997994715845,2327.5005921779,4194.126969517128,1200.6425042985727,2200.542100063752,3162.6588718652924,4311.372054134707,1216.7032390972354,2024.6238120802661,3278.5975865445225,4070.805511894915,
ADG0_SA1,kcl,k,s,0.9525,0.975,0.022499999999999964,1294.1277998857847,1762.2669672141346,3025.5952395990357,0,1246.9416840709237,1727.4890618704317,2970.1402945993123,0,1054.6931057184988,1752.231820300603,2839.4550096288594,0,
ADG0_SA1,k,s,ux,0.975,1.1325,0.15750000000000008,1106.9924885373284,1958.9414103894399,3042.1373928822286,4501.924796911857,1202.2538631411214,2288.028528031429,3380.0205181065094,4536.040706426208,912.0600577704264,2125.410096286789,3178.309025897259,4564.188447939924,
ADG0_SA1,s,ux,tcl,1.1325,1.2825,0.1499999999999999,510.0067877965163,2057.4075111909906,3034.2354329401146,0,496.4793849694652,2104.7434012485887,2791.709140875496,0,486.05937631432244,2105.8290008959943,2797.766668914516,0,
ADG0_SA1,ux,tcl,t,1.2825,1.3175,0.03499999999999992,357.73154088429567,2093.8984305797903,2944.163418934995,3869.9603518738827,323.5611020913138,1956.371223266802,2972.2934334104525,4222.882243277023,779.8907256291504,2372.3917033537746,3392.388774359941,3956.800987652296,
ADG0_SA1,tcl,t,q,1.3175,1.3368125,0.019312500000000066,778.788967367413,2365.8864055861072,3429.856033336885,3921.7073702333296,712.8422501665018,2342.715134786834,3379.8915091135505,3919.7889806869566,517.5390568619864,2363.25520921248,3276.2540161135344,4009.426246300335,
ADG0_SA1,t,q,ix,1.3368125,1.3875,0.050687499999999996,428.10517242013333,2468.759180150621,3151.4087864566345,0,598.2113039822001,2476.997945910407,3091.381242033784,0,589.6850205339315,2459.781962597703,3111.581204144823,0,
ADG0_SA1,q,ix,n,1.3875,1.4229375,0.03543750000000001,629.5286174352777,2486.93163339405,3142.136910997802,4353.036754561359,639.8502664592362,2469.6449323469437,3175.1076732527868,4413.355664296909,629.2306168609452,2438.0350404745413,3215.1313847833,4531.7299941878555,
ADG0_SA1,ix,n,gcl,1.4229375,1.5038125,0.08087500000000003,610.3681021601448,2432.96785464316,2954.4678418957096,4499.798381440124,522.1459188322162,1828.0506304926248,2746.4913648409165,3343.6489289953574,427.6979431720219,1879.2626744637228,2737.757185220145,4277.36825286722,
ADG0_SA1,n,gcl,g,1.5038125,1.53,0.02618750000000003,438.25437448160216,1237.4921522754712,2681.0991528777167,3919.8155325865973,595.5779427187488,1087.0029530659567,2699.02610256347,3987.58914365246,908.9306378928392,1225.2950990645797,2615.858574394143,4026.609184154992,
